id	sentence	word	index	complexity	source	set
3170	2月7日晚上，蓝某的爱人韦某（现住都安）确诊为新冠肺炎患者，我院再次叮嘱蓝某继续严格居家隔离并等待核酸检测。	等待	48	0.2318181818181818	weibo_covid	train
3255	2010年 记忆点：王菲、小虎队复出王菲春晚复出演唱《传奇》是当年春晚最大的亮点。	传奇	28	0.2681818181818182	weibo_olympics	test
3500	人们说色釉是瓷器中的皇冠，而祭红就是这皇冠上的一颗宝珠。	祭红	15	0.6090909090909091	bcc	train
1566	我国统一战线中的差异和矛盾，基本上是不属于阶级斗争范围的各种社会矛盾，基本上是人民内部矛盾。	范围	26	0.3500000000000001	people's daily	train
2120	组图共7张	组图	1	0.2318181818181818	weibo_covid	test
2425	#急寻染病交通工具乘客#	交通	6	0.2363636363636363	weibo_covid	train
1781	其性质为初等层次社会力量办学，系就业前岗位培训，不在国家招生计划之列。	力量	11	0.3136363636363637	people's daily	train
462	完善邓小平理论学习制度、编写教材抓普及。	学习	8	0.2818181818181819	people's daily	train
1309	J联赛决定2月26日-3月15日这三周时间不再举办任何正式比赛，并为3月18日赛事恢复做充分准备。	举办	24	0.2272727272727273	weibo_covid	train
1037	坐立不安的美国电话电报公司11日首先对这起合并案发难，称这起兼并“将形成地方电话市场无竞争、消费者无好处的局面”。	电话	8	0.3045454545454546	people's daily	test
820	担心传染家人，汪晓婷坚持每天下班住宾馆。	坚持	11	0.20625	weibo_covid	val
715	公司的碾米厂日加工稻谷30吨，产大米20吨，其年加工稻谷的能力是5000至7000吨，它现在加工出的大米已全部销售一空。	全部	54	0.3125	people's daily	train
3366	人们对改革普遍失望，有一种受愚弄被欺骗的感觉。	失望	8	0.30625	weibo_gov	train
3495	自外向内依次为浆膜层、平滑肌层、粘膜下层和粘膜层。	浆膜层	8	0.775	bcc	train
1200	维护和平？	和平	3	0.28125	weibo_diaoyu	train
2571	你说，如果在高富帅的床上睡得不舒服，随时欢迎她回来；	欢迎	21	0.2875	weibo_gtypes	val
2351	罗马尼亚主教练约尔德内斯库按捺不住喜悦的心情，说道，队里虽有不少新手是第一次参加世界杯，但这些小伙子们踢得不错。	小伙子	48	0.2749999999999999	people's daily	train
2816	北京西间运行	运行	5	0.4875	weibo_covid	test
2835	这的确是不错的结果。	不错	5	0.1999999999999999	weibo_covid	train
1467	在采访中，两位主席谈到了意大利的新冠肺炎疫情，以及新球场的建设工作。	球场	27	0.28125	weibo_covid	train
2581	热热闹闹的韩氏家族又把一个姑娘嫁出去了。	热	1	0.45625	weibo_gtypes	train
3312	第四中国可以援伊保证自己石油输入；	输入	15	0.45625	weibo_diaoyu	train
